Plot,Waypoint,Block,Treatment,Aboveground biomass (g),Litter (g)
107,973,9,Amb/No fert/Thin,22.78,39.42
108,973,9,Sun/Fert/No thin,36.46,65.51
109,974,10,Shade/Fert/Thin,56.48,29.31
110,974,10,Shade/No fert/Thin,39.39,33.48
111,974,10,Amb/No fert/No thin,38.21,38.42
112,974,10,Amb/Fert/Thin,56.61,37.32
113,974,10,Sun/Fert/Thin,65.26,52.94
114,974,10,Amb/Fert/No thin,42.05,25.54
115,974,10,Sun/No fert/Thin,37.82,56.18
116,974,10,Sun/No fert/No thin,35.22,61.45
117,974,10,Amb/No fert/Thin,36.08,35.52
118,974,10,Shade/Fert/No thin,41.85,57.02
119,974,10,Shade/No fert/No thin,26.29,105.65
120,974,10,Sun/Fert/No thin,54.53,80.99
121,975,11,Shade/No fert/Thin,49.08,26.96
122,975,11,Shade/No fert/No thin,61.62,53.55
123,975,11,Amb/Fert/Thin,37.65,17.28
124,975,11,Shade/Fert/Thin,45.06,81
125,975,11,Sun/No fert/No thin,44.33,56.36
126,975,11,Shade/Fert/No thin,33.09,44.95
127,975,11,Amb/Fert/No thin,69.14,77.4
128,975,11,Sun/Fert/Thin,61.79,55.25
129,975,11,Amb/No fert/No thin,37.84,55.04
130,975,11,Sun/No fert/Thin,31.5,37.61
131,975,11,Sun/Fert/No thin,36,46.41
132,975,11,Amb/No fert/Thin,33.96,45.27
133,976,12,Sun/Fert/Thin,40.25,46.8
134,976,12,Sun/No fert/No thin,45.81,62.72
135,976,12,Amb/Fert/Thin,49.66,47.2
136,976,12,Sun/Fert/No thin,58.31,51.39
137,976,12,Amb/Fert/No thin,52.7,59.4
138,976,12,Amb/No fert/Thin,32.43,45.96
139,976,12,Shade/No fert/No thin,50.15,67.58
140,976,12,Shade/Fert/No thin,52.58,59.74
141,976,12,Shade/No fert/Thin,34.05,54.53
142,976,12,Amb/No fert/No thin,40.57,51.52
143,976,12,Shade/Fert/Thin,45.13,60.02
144,976,12,Sun/No fert/Thin,32.62,41.21
145,977,13,Sun/No fert/Thin,34.57,50.51
146,977,13,Amb/No fert/Thin,33.25,41.66
147,977,13,Sun/No fert/No thin,26.66,38.54
148,977,13,Amb/Fert/Thin,34.23,45.96
149,977,13,Amb/Fert/No thin,43.88,45.2
150,977,13,Shade/Fert/Thin,69.68,51.82
151,977,13,Sun/Fert/Thin,48.12,47.9
152,977,13,Shade/Fert/No thin,37.53,62.79
153,977,13,Shade/No fert/No thin,40.2,47.29
154,977,13,Sun/Fert/No thin,43.36,58.89
155,977,13,Shade/No fert/Thin,36.9,50.08
156,977,13,Amb/No fert/No thin,51.12,70.24
157,978,14,Shade/Fert/No thin,54.03,59.28
158,978,14,Shade/No fert/No thin,41.38,54.5
159,978,14,Shade/No fert/Thin,41.08,61.74
160,978,14,Shade/Fert/Thin,50.63,47.84
161,978,14,Sun/No fert/Thin,28.74,39.54
162,978,14,Amb/Fert/No thin,73.17,32.55
163,978,14,Sun/No fert/No thin,30.84,65.95
164,978,14,Sun/Fert/Thin,50.72,54.09
165,978,14,Amb/No fert/No thin,58.12,75.75
166,978,14,Amb/No fert/Thin,37.38,46.17
167,978,14,Amb/Fert/Thin,35.78,54.58
168,978,14,Sun/Fert/No thin,66.67,40.71
169,979,15,Amb/Fert/Thin,34.35,30.16
170,979,15,Amb/Fert/No thin,57.43,61.62
171,979,15,Sun/Fert/No thin,38.52,74.02
172,979,15,Amb/No fert/Thin,44.97,32.42
173,979,15,Shade/Fert/Thin,49.34,50.53
174,979,15,Amb/No fert/No thin,33.77,32.47
175,979,15,Shade/No fert/Thin,29.7,30.81
176,979,15,Sun/Fert/Thin,36.39,40.85
177,979,15,Shade/Fert/No thin,53.66,52.03
178,979,15,Shade/No fert/No thin,45.71,55.2
179,979,15,Sun/No fert/No thin,37.67,46.76
180,979,15,Sun/No fert/Thin,37.87,52.13
181,980,16,Shade/Fert/No thin,40.94,25.93
182,980,16,Sun/Fert/No thin,36.92,31.7
183,980,16,Shade/No fert/Thin,46.56,74.21
184,980,16,Sun/No fert/No thin,32.25,41.3
185,980,16,Sun/No fert/Thin,14.5,31.01
186,980,16,Shade/Fert/Thin,42.57,42.87
187,980,16,Sun/Fert/Thin,30.75,28.81
188,980,16,Amb/Fert/No thin,26.85,49.22
189,980,16,Amb/No fert/Thin,23.19,26.75
190,980,16,Shade/No fert/No thin,26.35,7.13
191,980,16,Amb/Fert/Thin,44.93,58.05
192,980,16,Amb/No fert/No thin,30.77,58.43
193,981,17,Shade/Fert/Thin,29.84,103.19
194,981,17,Shade/No fert/Thin,36.03,19.61
195,981,17,Sun/Fert/No thin,38.42,50.51
196,981,17,Shade/No fert/No thin,29.36,54.76
197,981,17,Amb/Fert/Thin,71.64,42.58
198,981,17,Amb/No fert/Thin,39.16,34.28
199,981,17,Shade/Fert/No thin,36.97,72.97
200,981,17,Sun/No fert/No thin,25.59,43
201,981,17,Sun/No fert/Thin,31.44,29.99
202,981,17,Amb/No fert/No thin,31.15,39.61
203,981,17,Sun/Fert/Thin,62.92,135.44
204,981,17,Amb/Fert/No thin,50.01,58.24
