Date Collected,Plot,Waypoint,Block,Treatment,Above Canopy PAR,Below Canopy PAR,,,,,
11-Jul-21,79,971,7,Sun/Fert/Thin,734,468,,,,,
11-Jul-21,80,971,7,Sun/No fert/No thin,737,429,,,,,
11-Jul-21,81,971,7,Amb/Fert/Thin,728,444,,,,,
11-Jul-21,82,971,7,Amb/No fert/No thin,484,226,,,,,
11-Jul-21,83,971,7,Amb/No fert/Thin,687,338,,,,,
11-Jul-21,84,971,7,Shade/Fert/No thin,694,409,,,,,
11-Jul-21,85,972,8,Shade/No fert/No thin,593,263,,,,,
11-Jul-21,86,972,8,Sun/No fert/No thin,757,368,,,,,
11-Jul-21,87,972,8,Sun/Fert/Thin,826,440,,,,,
11-Jul-21,88,972,8,Shade/Fert/No thin,678,54,,,,,
11-Jul-21,89,972,8,Amb/Fert/No thin,906,521,,,,,
11-Jul-21,90,972,8,Sun/No fert/Thin,886,433,,,,,
11-Jul-21,91,972,8,Amb/No fert/No thin,818,266,,,,,
11-Jul-21,92,972,8,Shade/Fert/Thin,551,150,,,,,
11-Jul-21,93,972,8,Amb/No fert/Thin,831,348,,,,,
11-Jul-21,94,972,8,Amb/Fert/Thin,895,328,,,,,
11-Jul-21,95,972,8,Shade/No fert/Thin,549,142,,,,,
11-Jul-21,96,972,8,Sun/Fert/No thin,803,241,,,,,
11-Jul-21,97,973,9,Amb/No fert/No thin,925,378,,,,,
11-Jul-21,98,973,9,Amb/Fert/No thin,1018,330,,,,,
11-Jul-21,99,973,9,Shade/Fert/Thin,614,311,,,,,
11-Jul-21,100,973,9,Shade/No fert/Thin,700,422,,,,,
11-Jul-21,101,973,9,Sun/Fert/Thin,1196,497,,,,,
11-Jul-21,102,973,9,Amb/Fert/Thin,1092,640,,,,,
11-Jul-21,103,973,9,Shade/No fert/No thin,861,363,,,,,
11-Jul-21,104,973,9,Sun/No fert/Thin,1387,715,,,,,
11-Jul-21,105,973,9,Sun/No fert/No thin,1338,655,,,,,
11-Jul-21,106,973,9,Shade/Fert/No thin,881,520,,,,,
11-Jul-21,107,973,9,Amb/No fert/Thin,1320,523,,,,,
11-Jul-21,108,973,9,Sun/Fert/No thin,1392,726,,,,,
11-Jul-21,109,974,10,Shade/Fert/Thin,998,387,,,,,
11-Jul-21,110,974,10,Shade/No fert/Thin,913,271,,,,,
11-Jul-21,111,974,10,Amb/No fert/No thin,1264,200,,,,,
11-Jul-21,112,974,10,Amb/Fert/Thin,1173,560,,,,,
11-Jul-21,113,974,10,Sun/Fert/Thin,1149,401,,,,,
11-Jul-21,114,974,10,Amb/Fert/No thin,1130,558,,,,,
11-Jul-21,115,974,10,Sun/No fert/Thin,1192,729,,,,,
11-Jul-21,116,974,10,Sun/No fert/No thin,1172,384,,,,,
11-Jul-21,117,974,10,Amb/No fert/Thin,1089,440,,,,,
