"","Canopy.W1","Canopy.W2","Max.Height","SA.Leaf","Stem.Volume","Stem.Biomass","SSD","Biomass.Leaf","SLA.Leaf","Root.Biomass","Root.Length","Root.AvgDiam","Root.Volume","SRL","RTD","N.shoot","C.shoot","N.root","C.root"
"Artfri",17.2857142857143,10.1928571428571,19.4142857142857,0.578,0.369230769230769,110.265769230769,413.09946425,3.10809523809524,237.606418421429,85.7286363636364,193.978353846154,0.362769230769231,0.181846153846154,2636.94584245455,536.499694090909,1.974,46.49,0.859090909090909,48.6718181818182
"Artlud",11.275,7.7,30.375,3.35833333333333,0.45,124.75125,292.566875,22.4241666666667,154.556680083333,160.61125,212.542425,0.459875,0.26,1198.698158,653.92052625,2.0125,44.5025,1.1625,45.27
"Astagr",15.42,10.5,25.66,7.80833333333333,0.26,51.971,207.05,60.525,145.576188033333,147.585,161.41835,0.903775,0.33825,1759.716376425,529.58198,3.2875,45.3225,2.5475,47.7175
"Astcic",11.1666666666667,7.16666666666667,12.3333333333333,6.93422222222222,0.4,132.1975,264.395,31.3738888888889,227.197449888889,20.7633333333333,130.414733333333,0.2154,0.054,7673.57299666667,477.444989333333,3.57,43.3233333333333,1.11333333333333,44.4266666666667
"Astfal",6.025,2.625,22.9,1.18333333333333,0.3375,65.7333333333333,207.911111,8.67,141.864885675,NA,31.6785,0.6055,0.084,NA,NA,1.66333333333333,41.3233333333333,0.86,46.905
"Astfle",45.2,29.95,28.65,4.11111111111111,0.275,83.33875,404.4427085,35.9211111111111,114.605909266667,511.501666666667,387.182425,0.663625,0.66875,382.751818333333,596.045729,4.89666666666667,44.3466666666667,3.05333333333333,46.85
"Astlae",15.5,11.72,33.7,13.1066666666667,0.83,193.040333333333,243.28073,96.698,137.108442466667,NA,475.9076,0.422533333333333,0.584666666666667,NA,NA,2.0375,43.35,0.9775,42.22
"Astlax",31.78,18.72,28.16,7.95555555555556,0.28,67.376,250.36,86.0438888888889,95.5347871022222,66.894,120.54528,0.60166,0.1282,2034.900523,514.6436156,3.69,45.615,1.94333333333333,48.0933333333333
"Axyama",14.6,11.5,35.4,NA,0.6,127.4775,247.4275,NA,NA,22.795,95.5825,0.2277,0.039,6245.676775,542.0516305,NA,NA,NA,NA
"Bougra",7.57333333333333,3.25333333333333,17.42,0.755,0.11,18.033,163.195,6.32633333333333,158.685052096667,69.6172222222222,224.75006,0.267233333333333,0.115733333333333,4365.57059,556.364084333333,1.75833333333333,44.0133333333333,0.57625,46.9525
"Brocar",16.8,0.5,17.6,10.7171111111111,0.18,60.361,568.466,44.1673333333333,219.902397888889,69.828,184.60164,0.30682,0.1352,3788.538872,508.1852842,2.07,42.7033333333333,0.514,41.374
"Broine",11.7368421052632,4.29473684210526,60.7210526315789,11.4444444444444,0.461111111111111,145.182352941176,269.4429722,58.4792105263158,183.707254640476,155.101333333333,245.7481,0.322636842105263,0.235052631578947,3062.73152757143,555.681102928571,1.71923076923077,43.2753846153846,0.656875,42.368125
