Date Collected,Plot,Waypoint,Block,Treatment,Field Weight (g),Dry Weight (g),2 g dry equivalent,Gravimetric soil moisture
25-May-21,77,,7,Shade/Fert/Thin,0.998,0.789,2.53,0.2648922687
25-May-21,78,,7,Sun/Fert/No thin,0.998,0.756,2.64,0.3201058201
25-May-21,79,,7,Sun/Fert/Thin,1,0.707,2.83,0.414427157
25-May-21,80,,7,Sun/No fert/No thin,1.001,0.887,2.26,0.1285231116
25-May-21,81,,7,Amb/Fert/Thin,1.001,0.83,2.41,0.2060240964
25-May-21,82,,7,Amb/No fert/No thin,1,0.809,2.47,0.2360939431
25-May-21,83,,7,Amb/No fert/Thin,1,0.843,2.37,0.1862396204
25-May-21,84,,7,Shade/Fert/No thin,0.999,0.767,2.60,0.3024771838
25-May-21,85,,8,Shade/No fert/No thin,0.999,0.716,2.79,0.3952513966
25-May-21,86,,8,Sun/No fert/No thin,1.001,0.722,2.77,0.3864265928
25-May-21,87,,8,Sun/Fert/Thin,1,0.69,2.90,0.4492753623
25-May-21,88,,8,Shade/Fert/No thin,0.999,0.828,2.41,0.2065217391
25-May-21,89,,8,Amb/Fert/No thin,1,0.591,3.38,0.6920473773
25-May-21,90,,8,Sun/No fert/Thin,1,0.823,2.43,0.2150668287
25-May-21,91,,8,Amb/No fert/No thin,1.001,0.777,2.58,0.2882882883
25-May-21,92,,8,Shade/Fert/Thin,1.001,0.763,2.62,0.3119266055
25-May-21,93,,8,Amb/No fert/Thin,1,0.827,2.42,0.2091898428
25-May-21,94,,8,Amb/Fert/Thin,1.001,0.791,2.53,0.2654867257
25-May-21,95,,8,Shade/No fert/Thin,1,0.754,2.65,0.3262599469
25-May-21,96,,8,Sun/Fert/No thin,1,0.745,2.68,0.3422818792
25-May-21,97,,9,Amb/No fert/No thin,1,0.818,2.44,0.2224938875
25-May-21,98,,9,Amb/Fert/No thin,1,0.856,2.34,0.1682242991
25-May-21,99,,9,Shade/Fert/Thin,1,0.808,2.48,0.2376237624
25-May-21,100,,9,Shade/No fert/Thin,1,0.808,2.48,0.2376237624
25-May-21,101,,9,Sun/Fert/Thin,1,0.804,2.49,0.2437810945
25-May-21,102,,9,Amb/Fert/Thin,1,0.831,2.41,0.2033694344
